Rk,Date,Tm,Unnamed: 3_level_1,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1,2019-04-10,ATL,,IND,L 134-135,240,43,103,.417,26,62,.419,17,41,.415,31,38,.816,134
2,2019-04-10,IND,@,ATL,W 135-134,240,45,98,.459,33,68,.485,12,30,.400,33,39,.846,135
3,2019-04-10,BRK,,MIA,W 113-94,240,43,114,.377,22,56,.393,21,58,.362,6,7,.857,113
4,2019-04-10,MIA,@,BRK,L 94-113,240,38,98,.388,30,57,.526,8,41,.195,10,15,.667,94
5,2019-04-10,CHA,,ORL,L 114-122,240,41,78,.526,33,49,.673,8,29,.276,24,27,.889,114
6,2019-04-10,ORL,@,CHO,W 122-114,240,48,88,.545,37,58,.638,11,30,.367,15,20,.750,122
7,2019-04-10,DEN,,MIN,W 99-95,240,39,87,.448,29,54,.537,10,33,.303,11,17,.647,99
8,2019-04-10,MIN,@,DEN,L 95-99,240,39,91,.429,26,59,.441,13,32,.406,4,6,.667,95
9,2019-04-10,LAC,,UTA,W 143-137 (OT),265,54,106,.509,42,78,.538,12,28,.429,23,30,.767,143
10,2019-04-10,UTA,@,LAC,L 137-143 (OT),265,47,106,.443,33,71,.465,14,35,.400,29,33,.879,137
11,2019-04-10,GSW,@,MEM,L 117-132,240,46,92,.500,33,62,.532,13,30,.433,12,14,.857,117
12,2019-04-10,MEM,,GSW,W 132-117,240,48,98,.490,27,52,.519,21,46,.457,15,18,.833,132
13,2019-04-10,MIL,,OKC,L 116-127,240,43,100,.430,28,54,.519,15,46,.326,15,21,.714,116
14,2019-04-10,OKC,@,MIL,W 127-116,240,48,99,.485,25,45,.556,23,54,.426,8,13,.615,127
15,2019-04-10,DET,@,NYK,W 115-89,240,41,85,.482,27,52,.519,14,33,.424,19,20,.950,115
16,2019-04-10,NYK,,DET,L 89-115,240,31,77,.403,22,47,.468,9,30,.300,18,25,.720,89
17,2019-04-10,CHI,@,PHI,L 109-125,240,45,95,.474,36,71,.507,9,24,.375,10,15,.667,109
18,2019-04-10,PHI,,CHI,W 125-109,240,52,93,.559,40,67,.597,12,26,.462,9,15,.600,125
19,2019-04-10,POR,,SAC,W 136-131,240,53,91,.582,39,67,.582,14,24,.583,16,22,.727,136
20,2019-04-10,SAC,@,POR,L 131-136,240,50,96,.521,32,53,.604,18,43,.419,13,16,.813,131
21,2019-04-10,DAL,@,SAS,L 94-105,240,37,91,.407,26,54,.481,11,37,.297,9,12,.750,94
22,2019-04-10,SAS,,DAL,W 105-94,240,41,88,.466,33,64,.516,8,24,.333,15,18,.833,105
23,2019-04-09,CHI,,NYK,L 86-96,240,30,83,.361,23,61,.377,7,22,.318,19,29,.655,86
24,2019-04-09,NYK,@,CHI,W 96-86,240,37,93,.398,23,53,.434,14,40,.350,8,13,.615,96
25,2019-04-09,CHA,@,CLE,W 124-97,240,45,78,.577,23,34,.676,22,44,.500,12,17,.706,124
26,2019-04-09,CLE,,CHO,L 97-124,240,40,89,.449,29,59,.492,11,30,.367,6,8,.750,97
27,2019-04-09,DAL,,PHO,W 120-109,240,41,91,.451,25,51,.490,16,40,.400,22,27,.815,120
28,2019-04-09,PHO,@,DAL,L 109-120,240,38,88,.432,25,53,.472,13,35,.371,20,28,.714,109
29,2019-04-09,DET,,MEM,W 100-93,240,35,88,.398,25,54,.463,10,34,.294,20,28,.714,100
30,2019-04-09,MEM,@,DET,L 93-100,240,33,69,.478,23,45,.511,10,24,.417,17,21,.810,93
31,2019-04-09,LAL,,POR,L 101-104,240,40,94,.426,30,65,.462,10,29,.345,11,17,.647,101
32,2019-04-09,POR,@,LAL,W 104-101,240,37,90,.411,26,53,.491,11,37,.297,19,22,.864,104
33,2019-04-09,MIA,,PHI,W 122-99,240,46,87,.529,33,60,.550,13,27,.481,17,23,.739,122
34,2019-04-09,PHI,@,MIA,L 99-122,240,40,98,.408,35,73,.479,5,25,.200,14,16,.875,99
35,2019-04-09,MIN,,TOR,L 100-120,240,38,91,.418,25,49,.510,13,42,.310,11,14,.786,100
36,2019-04-09,TOR,@,MIN,W 120-100,240,46,88,.523,30,51,.588,16,37,.432,12,17,.706,120
37,2019-04-09,GSW,@,NOP,W 112-103,240,43,89,.483,31,59,.525,12,30,.400,14,21,.667,112
38,2019-04-09,NOP,,GSW,L 103-112,240,44,99,.444,35,66,.530,9,33,.273,6,10,.600,103
39,2019-04-09,HOU,@,OKC,L 111-112,240,38,88,.432,20,35,.571,18,53,.340,17,20,.850,111
40,2019-04-09,OKC,,HOU,W 112-111,240,40,96,.417,24,55,.436,16,41,.390,16,20,.800,112
41,2019-04-09,DEN,@,UTA,L 108-118,240,41,88,.466,29,63,.460,12,25,.480,14,22,.636,108
42,2019-04-09,UTA,,DEN,W 118-108,240,41,78,.526,31,51,.608,10,27,.370,26,34,.765,118
43,2019-04-09,BOS,@,WAS,W 116-110,240,45,99,.455,30,55,.545,15,44,.341,11,23,.478,116
