Rk,Tm,Season,G,W,L,W/L%,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
1,CHI,2018-19,82,22,60,.268,19905,3266,7205,.453,2521,5082,.496,745,2123,.351,1328,1695,.783,8605
2,LAL,2018-19,82,37,45,.451,19780,3491,7425,.470,2644,4884,.541,847,2541,.333,1336,1910,.699,9165
3,POR,2018-19,82,53,29,.646,19855,3470,7427,.467,2566,4907,.523,904,2520,.359,1558,1914,.814,9402
4,WAS,2018-19,82,32,50,.390,19930,3456,7387,.468,2526,4656,.543,930,2731,.341,1508,1963,.768,9350
5,CHA,2018-19,82,39,43,.476,19830,3297,7362,.448,2320,4579,.507,977,2783,.351,1510,1895,.797,9081
6,MIL,2018-19,82,60,22,.732,19780,3555,7471,.476,2450,4337,.565,1105,3134,.353,1471,1904,.773,9686
7,BRK,2018-19,82,42,40,.512,19980,3301,7358,.449,2254,4393,.513,1047,2965,.353,1555,2088,.745,9204
8,DET,2018-19,82,41,41,.500,19855,3185,7238,.440,2192,4384,.500,993,2854,.348,1415,1893,.747,8778
9,HOU,2018-19,82,53,29,.646,19830,3218,7163,.449,1895,3442,.551,1323,3721,.356,1582,2001,.791,9341
10,NOP,2018-19,82,33,49,.402,19755,3581,7563,.473,2739,5114,.536,842,2449,.344,1462,1921,.761,9466
11,IND,2018-19,82,48,34,.585,19705,3390,7135,.475,2611,5054,.517,779,2081,.374,1298,1727,.752,8857
12,MEM,2018-19,82,33,49,.402,19880,3113,6924,.450,2302,4556,.505,811,2368,.342,1453,1882,.772,8490
13,DEN,2018-19,82,54,28,.659,19730,3439,7384,.466,2536,4813,.527,903,2571,.351,1294,1714,.755,9075
14,LAC,2018-19,82,48,34,.585,19830,3384,7178,.471,2563,5060,.507,821,2118,.388,1853,2340,.792,9442
15,ATL,2018-19,82,29,53,.354,19855,3392,7524,.451,2325,4490,.518,1067,3034,.352,1443,1918,.752,9294
16,NYK,2018-19,82,17,65,.207,19780,3134,7241,.433,2311,4820,.479,823,2421,.340,1484,1956,.759,8575
17,MIA,2018-19,82,39,43,.476,19730,3251,7218,.450,2323,4560,.509,928,2658,.349,1238,1782,.695,8668
18,ORL,2018-19,82,42,40,.512,19780,3316,7307,.454,2379,4674,.509,937,2633,.356,1231,1575,.782,8800
19,DAL,2018-19,82,33,49,.402,19780,3182,7122,.447,2160,4120,.524,1022,3002,.340,1541,2076,.742,8927
20,PHO,2018-19,82,19,63,.232,19880,3289,7164,.459,2499,4764,.525,790,2400,.329,1447,1858,.779,8815
21,SAC,2018-19,82,39,43,.476,19730,3541,7637,.464,2614,5182,.504,927,2455,.378,1354,1865,.726,9363
22,UTA,2018-19,82,50,32,.610,19755,3314,7082,.468,2321,4293,.541,993,2789,.356,1540,2092,.736,9161
23,MIN,2018-19,82,36,46,.439,19830,3413,7483,.456,2586,5126,.504,827,2357,.351,1570,1995,.787,9223
24,SAS,2018-19,82,48,34,.585,19805,3468,7248,.478,2656,5177,.513,812,2071,.392,1408,1720,.819,9156
25,CLE,2018-19,82,19,63,.232,19755,3189,7184,.444,2342,4796,.488,847,2388,.355,1342,1694,.792,8567
26,TOR,2018-19,82,58,24,.707,19880,3460,7305,.474,2445,4534,.539,1015,2771,.366,1449,1803,.804,9384
27,BOS,2018-19,82,49,33,.598,19780,3451,7423,.465,2419,4594,.527,1032,2829,.365,1282,1598,.802,9216
28,PHI,2018-19,82,51,31,.622,19805,3407,7233,.471,2518,4759,.529,889,2474,.359,1742,2258,.771,9445
29,GSW,2018-19,82,57,25,.695,19805,3612,7361,.491,2525,4537,.557,1087,2824,.385,1339,1672,.801,9650
30,OKC,2018-19,82,49,33,.598,19855,3497,7706,.454,2565,5029,.510,932,2677,.348,1461,2049,.713,9387
31,LAC,2017-18,82,42,40,.512,19705,3302,7004,.471,2525,4808,.525,777,2196,.354,1556,2095,.743,8937
32,LAL,2017-18,82,35,47,.427,19905,3338,7248,.461,2516,4864,.517,822,2384,.345,1364,1910,.714,8862
33,NYK,2017-18,82,29,53,.354,19830,3334,7193,.464,2661,5279,.504,673,1914,.352,1225,1557,.787,8566
34,OKC,2017-18,82,48,34,.585,19830,3271,7221,.453,2390,4730,.505,881,2491,.354,1421,1985,.716,8844
35,CHI,2017-18,82,27,55,.329,19855,3170,7285,.435,2264,4736,.478,906,2549,.355,1194,1574,.759,8440
36,TOR,2017-18,82,59,23,.720,19830,3383,7169,.472,2415,4464,.541,968,2705,.358,1422,1790,.794,9156
37,MIL,2017-18,82,44,38,.537,19830,3257,6807,.478,2539,4783,.531,718,2024,.355,1499,1915,.783,8731
38,ATL,2017-18,82,24,58,.293,19705,3130,7015,.446,2213,4471,.495,917,2544,.360,1298,1654,.785,8475
39,DAL,2017-18,82,24,58,.293,19805,3128,7042,.444,2161,4354,.496,967,2688,.360,1167,1530,.763,8390
40,CHA,2017-18,82,36,46,.439,19780,3197,7106,.450,2373,4873,.487,824,2233,.369,1656,2216,.747,8874
41,DET,2017-18,82,39,43,.476,19805,3208,7129,.450,2322,4756,.488,886,2373,.373,1207,1621,.745,8509
42,BRK,2017-18,82,28,54,.341,19855,3136,7114,.441,2095,4190,.500,1041,2924,.356,1428,1850,.772,8741
43,IND,2017-18,82,48,34,.585,19755,3345,7083,.472,2604,5073,.513,741,2010,.369,1225,1573,.779,8656
44,MEM,2017-18,82,22,60,.268,19705,3013,6788,.444,2255,4636,.486,758,2152,.352,1361,1732,.786,8145
45,NOP,2017-18,82,48,34,.585,19955,3500,7241,.483,2663,4929,.540,837,2312,.362,1324,1716,.772,9161
46,MIA,2017-18,82,44,38,.537,19930,3184,6997,.455,2281,4491,.508,903,2506,.360,1209,1601,.755,8480
47,ORL,2017-18,82,25,57,.305,19730,3182,7042,.452,2338,4637,.504,844,2405,.351,1271,1678,.757,8479
48,PHO,2017-18,82,21,61,.256,19705,3153,7141,.442,2390,4855,.492,763,2286,.334,1453,1962,.741,8522
49,POR,2017-18,82,49,33,.598,19755,3222,7132,.452,2377,4824,.493,845,2308,.366,1372,1715,.800,8661
50,SAC,2017-18,82,27,55,.329,19755,3179,7063,.450,2441,5096,.479,738,1967,.375,1008,1371,.735,8104
51,MIN,2017-18,82,47,35,.573,19805,3365,7063,.476,2707,5218,.519,658,1845,.357,1592,1980,.804,8980
52,SAS,2017-18,82,47,35,.573,19730,3202,6999,.457,2506,5022,.499,696,1977,.352,1324,1715,.772,8424
53,DEN,2017-18,82,46,36,.561,19880,3338,7102,.470,2398,4566,.525,940,2536,.371,1404,1830,.767,9020
54,UTA,2017-18,82,48,34,.585,19755,3139,6797,.462,2252,4372,.515,887,2425,.366,1375,1766,.779,8540
55,PHI,2017-18,82,52,30,.634,19780,3349,7098,.472,2448,4653,.526,901,2445,.369,1405,1868,.752,9004
56,WAS,2017-18,82,43,39,.524,19855,3275,7018,.467,2461,4845,.508,814,2173,.375,1378,1786,.772,8742
57,BOS,2017-18,82,55,27,.671,19805,3141,6975,.450,2202,4483,.491,939,2492,.377,1308,1697,.771,8529
58,CLE,2017-18,82,50,32,.610,19730,3311,6950,.476,2330,4314,.540,981,2636,.372,1488,1909,.779,9091
59,GSW,2017-18,82,58,24,.707,19730,3509,6981,.503,2583,4611,.560,926,2370,.391,1360,1668,.815,9304
60,HOU,2017-18,82,65,17,.793,19755,3174,6906,.460,1918,3436,.558,1256,3470,.362,1609,2061,.781,9213
61,ATL,2016-17,82,43,39,.524,19880,3123,6918,.451,2394,4781,.501,729,2137,.341,1484,2039,.728,8459
62,WAS,2016-17,82,49,33,.598,19855,3388,7137,.475,2632,5107,.515,756,2030,.372,1421,1812,.784,8953
63,CHI,2016-17,82,41,41,.500,19780,3169,7141,.444,2546,5310,.479,623,1831,.340,1474,1848,.798,8435
64,LAC,2016-17,82,51,31,.622,19755,3242,6820,.475,2401,4575,.525,841,2245,.375,1586,2128,.745,8911
65,BOS,2016-17,82,53,29,.646,19755,3168,6978,.454,2183,4236,.515,985,2742,.359,1536,1903,.807,8857
66,BRK,2016-17,82,20,62,.244,19755,3102,6987,.444,2225,4396,.506,877,2591,.338,1592,2020,.788,8673
67,DAL,2016-17,82,33,49,.402,19780,2968,6750,.440,2090,4277,.489,878,2473,.355,1215,1516,.801,8029
68,IND,2016-17,82,42,40,.512,19855,3221,6931,.465,2512,5046,.498,709,1885,.376,1467,1811,.810,8618
69,HOU,2016-17,82,55,27,.671,19780,3305,7152,.462,2124,3846,.552,1181,3306,.357,1667,2177,.766,9458
70,LAL,2016-17,82,26,56,.317,19705,3224,7164,.450,2494,5054,.493,730,2110,.346,1397,1853,.754,8575
71,MEM,2016-17,82,43,39,.524,19905,2984,6854,.435,2217,4685,.473,767,2169,.354,1504,1918,.784,8239
72,MIN,2016-17,82,31,51,.378,19805,3235,6922,.467,2634,5199,.507,601,1723,.349,1586,1986,.799,8657
73,CHA,2016-17,82,36,46,.439,19830,3093,7000,.442,2269,4653,.488,824,2347,.351,1591,1953,.815,8601
74,MIL,2016-17,82,42,40,.512,19780,3182,6715,.474,2462,4769,.516,720,1946,.370,1413,1839,.768,8497
75,DEN,2016-17,82,40,42,.488,19755,3377,7194,.469,2507,4829,.519,870,2365,.368,1537,1986,.774,9161
76,NOP,2016-17,82,34,48,.415,19905,3210,7130,.450,2442,4934,.495,768,2196,.350,1368,1825,.750,8556
77,MIA,2016-17,82,41,41,.500,19780,3202,7037,.455,2394,4824,.496,808,2213,.365,1248,1768,.706,8460
78,ORL,2016-17,82,29,53,.354,19805,3139,7133,.440,2438,4994,.488,701,2139,.328,1309,1753,.747,8288
79,OKC,2016-17,82,47,35,.573,19805,3237,7169,.452,2545,5053,.504,692,2116,.327,1575,2113,.745,8741
80,PHI,2016-17,82,28,54,.341,19830,3088,6992,.442,2257,4549,.496,831,2443,.340,1393,1806,.771,8400
81,PHO,2016-17,82,24,58,.293,19830,3270,7260,.450,2655,5406,.491,615,1854,.332,1676,2159,.776,8831
82,SAC,2016-17,82,32,50,.390,19880,3105,6734,.461,2368,4774,.496,737,1960,.376,1483,1913,.775,8430
83,DET,2016-17,82,37,45,.451,19805,3269,7282,.449,2638,5367,.492,631,1915,.330,1140,1586,.719,8309
84,TOR,2016-17,82,51,31,.622,19780,3211,6918,.464,2486,4922,.505,725,1996,.363,1615,2028,.796,8762
85,CLE,2016-17,82,51,31,.622,19880,3275,6963,.470,2208,4184,.528,1067,2779,.384,1431,1913,.748,9048
86,NYK,2016-17,82,31,51,.378,19855,3244,7256,.447,2540,5234,.485,704,2022,.348,1364,1731,.788,8556
87,GSW,2016-17,82,67,15,.817,19780,3532,7140,.495,2550,4578,.557,982,2562,.383,1457,1850,.788,9503
88,SAS,2016-17,82,61,21,.744,19805,3222,6864,.469,2469,4937,.500,753,1927,.391,1440,1806,.797,8637
89,POR,2016-17,82,41,41,.500,19930,3243,7059,.459,2391,4787,.499,852,2272,.375,1513,1940,.780,8851
90,UTA,2016-17,82,51,31,.622,19755,3033,6515,.466,2242,4387,.511,791,2128,.372,1401,1875,.747,8258
91,BOS,2015-16,82,48,34,.585,19780,3216,7318,.439,2499,5176,.483,717,2142,.335,1520,1929,.788,8669
92,PHI,2015-16,82,10,72,.122,19805,2970,6887,.431,2206,4632,.476,764,2255,.339,1284,1850,.694,7988
93,BRK,2015-16,82,21,61,.256,19755,3136,6920,.453,2605,5412,.481,531,1508,.352,1286,1699,.757,8089
94,UTA,2015-16,82,40,42,.488,19955,2957,6593,.449,2263,4637,.488,694,1956,.355,1402,1885,.744,8010
95,DEN,2015-16,82,33,49,.402,19830,3093,7003,.442,2437,5060,.482,656,1943,.338,1513,1974,.766,8355
96,HOU,2015-16,82,41,41,.500,19830,3094,6847,.452,2216,4314,.514,878,2533,.347,1671,2407,.694,8737
97,LAL,2015-16,82,17,65,.207,19730,2880,6956,.414,2241,4940,.454,639,2016,.317,1583,2028,.781,7982
98,MIN,2015-16,82,29,53,.354,19880,3095,6668,.464,2640,5321,.496,455,1347,.338,1753,2213,.792,8398
99,MEM,2015-16,82,42,40,.512,19830,3019,6859,.440,2515,5338,.471,504,1521,.331,1584,2024,.783,8126
100,CHA,2015-16,82,48,34,.585,19855,3036,6922,.439,2163,4512,.479,873,2410,.362,1534,1941,.790,8479
101,MIA,2015-16,82,48,34,.585,19830,3150,6697,.470,2652,5217,.508,498,1480,.336,1406,1889,.744,8204
102,MIL,2015-16,82,33,49,.402,19830,3145,6740,.467,2705,5463,.495,440,1277,.345,1392,1863,.747,8122
103,NYK,2015-16,82,32,50,.390,19805,3022,6886,.439,2412,5124,.471,610,1762,.346,1411,1753,.805,8065
104,OKC,2015-16,82,55,27,.671,19830,3372,7082,.476,2694,5137,.524,678,1945,.349,1616,2067,.782,9038
105,SAS,2015-16,82,67,15,.817,19705,3289,6797,.484,2719,5279,.515,570,1518,.375,1342,1672,.803,8490
106,ORL,2015-16,82,35,47,.427,19905,3242,7120,.455,2606,5302,.492,636,1818,.350,1249,1649,.757,8369
107,WAS,2015-16,82,41,41,.500,19755,3238,7033,.460,2529,5050,.501,709,1983,.358,1349,1849,.730,8534
108,DAL,2015-16,82,42,40,.512,20005,3064,6900,.444,2258,4558,.495,806,2342,.344,1454,1831,.794,8388
109,PHO,2015-16,82,23,59,.280,19705,3051,7018,.435,2313,4900,.472,738,2118,.348,1431,1905,.751,8271
110,POR,2015-16,82,44,38,.537,19805,3167,7040,.450,2303,4704,.490,864,2336,.370,1424,1889,.754,8622
111,LAC,2015-16,82,53,29,.646,19830,3141,6759,.465,2344,4569,.513,797,2190,.364,1490,2152,.692,8569
112,SAC,2015-16,82,33,49,.402,19805,3283,7083,.464,2623,5244,.500,660,1839,.359,1514,2089,.725,8740
113,IND,2015-16,82,45,37,.549,19880,3142,6985,.450,2479,5096,.486,663,1889,.351,1430,1872,.764,8377
114,TOR,2015-16,82,56,26,.683,19780,3006,6669,.451,2298,4754,.483,708,1915,.370,1702,2190,.777,8422
115,ATL,2015-16,82,48,34,.585,19830,3168,6923,.458,2353,4597,.512,815,2326,.350,1282,1638,.783,8433
116,DET,2015-16,82,44,38,.537,19880,3111,7087,.439,2371,4939,.480,740,2148,.345,1399,2095,.668,8361
117,CHI,2015-16,82,42,40,.512,19905,3165,7170,.441,2514,5417,.464,651,1753,.371,1354,1720,.787,8335
118,CLE,2015-16,82,57,25,.695,19855,3171,6888,.460,2291,4460,.514,880,2428,.362,1333,1783,.748,8555
119,GSW,2015-16,82,73,9,.890,19880,3489,7159,.487,2412,4567,.528,1077,2592,.416,1366,1790,.763,9421
120,NOP,2015-16,82,30,52,.366,19780,3153,7040,.448,2451,5089,.482,702,1951,.360,1415,1823,.776,8423
121,CLE,2014-15,82,53,29,.646,19780,3089,6739,.458,2263,4486,.504,826,2253,.367,1453,1934,.751,8457
122,LAC,2014-15,82,56,26,.683,19730,3228,6830,.473,2401,4628,.519,827,2202,.376,1468,2067,.710,8751
123,BOS,2014-15,82,40,42,.488,19880,3193,7211,.443,2533,5190,.488,660,2021,.327,1266,1678,.754,8312
124,BRK,2014-15,82,38,44,.463,19930,3069,6804,.451,2528,5171,.489,541,1633,.331,1359,1817,.748,8038
125,CHA,2014-15,82,33,49,.402,19905,2913,6932,.420,2415,5366,.450,498,1566,.318,1397,1867,.748,7721
126,MIL,2014-15,82,41,41,.500,19930,3083,6722,.459,2538,5222,.486,545,1500,.363,1312,1734,.757,8023
127,DEN,2014-15,82,30,52,.366,19880,3099,7158,.433,2439,5126,.476,660,2032,.325,1462,1991,.734,8320
128,DET,2014-15,82,32,50,.390,19830,3041,7038,.432,2338,4995,.468,703,2043,.344,1292,1838,.703,8077
129,IND,2014-15,82,38,44,.463,19855,2998,6824,.439,2386,5084,.469,612,1740,.352,1373,1817,.756,7981
130,PHI,2014-15,82,18,64,.220,19805,2765,6777,.408,2073,4617,.449,692,2160,.320,1320,1953,.676,7542
131,MEM,2014-15,82,55,27,.671,19905,3097,6763,.458,2674,5517,.485,423,1246,.339,1445,1869,.773,8062
132,MIN,2014-15,82,16,66,.195,19805,2986,6820,.438,2580,5597,.461,406,1223,.332,1638,2110,.776,8016
133,MIA,2014-15,82,37,45,.451,19730,2885,6330,.456,2329,4671,.499,556,1659,.335,1438,1940,.741,7764
134,WAS,2014-15,82,46,36,.561,19955,3139,6790,.462,2642,5409,.488,497,1381,.360,1305,1758,.742,8080
135,CHI,2014-15,82,50,32,.610,19880,3001,6797,.442,2356,4972,.474,645,1825,.353,1618,2067,.783,8265
136,NYK,2014-15,82,17,65,.207,19855,2882,6726,.428,2322,5112,.454,560,1614,.347,1211,1575,.769,7535
137,PHO,2014-15,82,39,43,.476,19880,3178,7038,.452,2480,4990,.497,698,2048,.341,1343,1767,.760,8397
138,OKC,2014-15,82,45,37,.549,19830,3184,7119,.447,2552,5255,.486,632,1864,.339,1524,2020,.754,8524
139,POR,2014-15,82,51,31,.622,19855,3175,7049,.450,2368,4818,.491,807,2231,.362,1272,1589,.801,8429
140,GSW,2014-15,82,67,15,.817,19730,3410,7137,.478,2527,4920,.514,883,2217,.398,1313,1709,.768,9016
141,SAC,2014-15,82,29,53,.354,19855,3010,6617,.455,2549,5267,.484,461,1350,.341,1829,2400,.762,8310
142,ATL,2014-15,82,60,22,.732,19730,3121,6699,.466,2303,4547,.506,818,2152,.380,1349,1735,.778,8409
143,TOR,2014-15,82,49,33,.598,19855,3108,6829,.455,2382,4769,.499,726,2060,.352,1585,2014,.787,8527
144,UTA,2014-15,82,38,44,.463,19705,2900,6492,.447,2290,4711,.486,610,1781,.343,1391,1929,.721,7801
145,HOU,2014-15,82,56,26,.683,19805,3032,6832,.444,2099,4152,.506,933,2680,.348,1525,2133,.715,8522
146,LAL,2014-15,82,21,61,.256,19930,3054,7020,.435,2522,5474,.461,532,1546,.344,1433,1935,.741,8073
147,NOP,2014-15,82,45,37,.549,19780,3108,6795,.457,2522,5212,.484,586,1583,.370,1345,1790,.751,8147
148,ORL,2014-15,82,25,57,.305,19755,3076,6792,.453,2522,5194,.486,554,1598,.347,1141,1565,.729,7847
149,DAL,2014-15,82,50,32,.610,19880,3255,7036,.463,2523,4954,.509,732,2082,.352,1386,1843,.752,8628
150,SAS,2014-15,82,55,27,.671,19955,3208,6854,.468,2531,5007,.505,677,1847,.367,1368,1754,.780,8461
151,BRK,2013-14,82,44,38,.537,19880,2931,6391,.459,2222,4469,.497,709,1922,.369,1508,2002,.753,8079
152,CLE,2013-14,82,33,49,.402,19930,3036,6955,.437,2452,5315,.461,584,1640,.356,1398,1861,.751,8054
153,ATL,2013-14,82,38,44,.463,19830,3061,6688,.458,2293,4572,.502,768,2116,.363,1392,1782,.781,8282
154,DAL,2013-14,82,49,33,.598,19830,3249,6858,.474,2528,4981,.508,721,1877,.384,1378,1733,.795,8597
155,DET,2013-14,82,29,53,.354,19780,3182,7124,.447,2675,5544,.483,507,1580,.321,1415,2111,.670,8286
156,WAS,2013-14,82,44,38,.537,20055,3177,6920,.459,2530,5216,.485,647,1704,.380,1253,1715,.731,8254
157,GSW,2013-14,82,51,31,.622,19830,3236,7005,.462,2462,4968,.496,774,2037,.380,1303,1731,.753,8549
158,CHA,2013-14,82,43,39,.524,19905,2976,6730,.442,2460,5259,.468,516,1471,.351,1474,2000,.737,7942
159,HOU,2013-14,82,54,28,.659,19830,3118,6603,.472,2339,4424,.529,779,2179,.358,1814,2549,.712,8829
160,MIN,2013-14,82,40,42,.488,19855,3189,7175,.444,2589,5418,.478,600,1757,.341,1790,2301,.778,8768
161,NOP,2013-14,82,34,48,.415,19855,3101,6761,.459,2615,5458,.479,486,1303,.373,1489,1936,.769,8177
162,MIL,2013-14,82,15,67,.183,19880,2952,6737,.438,2404,5184,.464,548,1553,.353,1377,1843,.747,7829
163,NYK,2013-14,82,37,45,.451,19855,3027,6739,.449,2268,4701,.482,759,2038,.372,1271,1670,.761,8084
164,PHI,2013-14,82,19,63,.232,19855,3108,7150,.435,2531,5303,.477,577,1847,.312,1362,1918,.710,8155
165,PHO,2013-14,82,48,34,.585,19755,3172,6845,.463,2407,4790,.503,765,2055,.372,1520,2004,.758,8629
166,POR,2013-14,82,54,28,.659,19855,3207,7134,.450,2437,5063,.481,770,2071,.372,1569,1926,.815,8753
167,DEN,2013-14,82,36,46,.439,19755,3147,7042,.447,2445,5083,.481,702,1959,.358,1563,2154,.726,8559
168,SAC,2013-14,82,28,54,.341,19830,3026,6766,.447,2535,5291,.479,491,1475,.333,1698,2237,.759,8241
169,MEM,2013-14,82,50,32,.610,19805,3122,6723,.464,2717,5576,.487,405,1147,.353,1235,1666,.741,7884
170,SAS,2013-14,82,62,20,.756,19755,3326,6844,.486,2628,5087,.517,698,1757,.397,1289,1642,.785,8639
171,BOS,2013-14,82,25,57,.305,19730,2996,6883,.435,2421,5154,.470,575,1729,.333,1325,1706,.777,7892
172,TOR,2013-14,82,48,34,.585,19955,2992,6718,.445,2279,4801,.475,713,1917,.372,1608,2055,.782,8305
173,OKC,2013-14,82,59,23,.720,19805,3194,6782,.471,2530,4943,.512,664,1839,.361,1653,2052,.806,8705
174,UTA,2013-14,82,25,57,.305,19780,2951,6652,.444,2408,5075,.474,543,1577,.344,1346,1803,.747,7791
175,IND,2013-14,82,56,26,.683,19780,2949,6573,.449,2399,5031,.477,550,1542,.357,1485,1907,.779,7933
176,ORL,2013-14,82,23,59,.280,19955,3022,6784,.445,2459,5188,.474,563,1596,.353,1307,1714,.763,7914
177,LAC,2013-14,82,57,25,.695,19755,3208,6761,.474,2515,4795,.525,693,1966,.352,1741,2384,.730,8850
178,LAL,2013-14,82,27,55,.329,19705,3139,6980,.450,2365,4948,.478,774,2032,.381,1390,1835,.757,8442
179,CHI,2013-14,82,48,34,.585,19930,2843,6577,.432,2335,5118,.456,508,1459,.348,1486,1908,.779,7680
180,MIA,2013-14,82,54,28,.659,19880,3142,6272,.501,2477,4443,.558,665,1829,.364,1431,1884,.760,8380
181,BRK,2012-13,82,49,33,.598,19855,2942,6544,.450,2314,4784,.484,628,1760,.357,1432,1958,.731,7944
182,ATL,2012-13,82,44,38,.537,19855,3084,6644,.464,2378,4743,.501,706,1901,.371,1158,1619,.715,8032
183,MIL,2012-13,82,38,44,.463,19830,3128,7197,.435,2527,5527,.457,601,1670,.360,1251,1700,.736,8108
184,CHA,2012-13,82,21,61,.256,19805,2823,6649,.425,2354,5250,.448,469,1399,.335,1546,2060,.750,7661
185,MIN,2012-13,82,31,51,.378,19730,2943,6702,.439,2493,5227,.477,450,1475,.305,1515,2042,.742,7851
186,NYK,2012-13,82,54,28,.659,19730,2996,6689,.448,2105,4318,.487,891,2371,.376,1313,1729,.759,8196
187,ORL,2012-13,82,20,62,.244,19780,3093,6904,.448,2587,5367,.482,506,1537,.329,1026,1359,.755,7718
